0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,160,162,164,166,168,170,172,174,176,178
-10.132693064894521,86.71427471194835,-9.026621207230809,5.209145936478401,-35.58985675612198,18.68826066224145,-47.02739920031226,-127.11652804279032,-43.70692027132158,-11.922258126737745,-104.90550766820625,-155.75974138007,47.585237793063136,-245.33360953419395,-488.98742344230425,175.08142700142193,-447.13101603568435,-319.2502735431655,149.84344666581057,-714.2086738191487,267.4163510946692,-744.15148534413,-3536.3188952439677,2443.8939502319527,1186.980662393504,651.0278383925557,471.81113567568013,588.8758746390733,1043.3360729855194,302.1964825652246,80.24266799050858,471.6975343247451,737.3146460621131,449.77123022277755,352.59849071538724,415.6852042961664,-9.265864152055329,4.057321700273733,222.65262165645277,679.8852703964651,-408.122263891934,191.85708824500554,-135.39304591981443,-59.31475348777879,280.78099934357095,3795.136031527798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7.279960564908649,39.99989205569338,1.5184618197227135,-1.8552276885405492,-22.0892404583343,-18.02271477854301,-28.89072297476575,-20.09152227764809,-97.17502097348813,-44.44580981660413,-68.41020596886969,-109.84890363520832,-5.748063686301726,-122.75223510897845,-149.76998944385588,-244.56655578514338,-118.12171860468362,-502.08227362493295,-14.558053919772151,-13.753586891608919,-277.0969203764792,-298.9312719661102,-1424.1125943685145,907.8831376476878,456.8362428732878,601.02299953978,-49.090770278339114,595.5906472180573,538.069297647991,413.0952005607535,677.0986668627799,278.4780119760096,238.6788774014326,214.14207802388975,269.27136534693096,575.3236113917834,24.39965021406157,44.162451808261686,-97.7747833662353,-85.68395330877436,462.170223098454,-342.348274829762,635.9510676856917,-8.144241976747676,201.52036951647648,2765.8613897424093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-17.359618241116323,100.80736634965216,-0.24229865912362905,-41.421599312766084,6.50633614015972,-111.29079493360037,-48.22341392828815,0.8295965401972819,-191.3850668516915,-52.52151393255488,-96.10333107090669,-120.93962760211386,-368.5677050844397,-242.45678005132277,-368.1434722963135,-273.91349310668744,-613.4717707621647,-621.7374951883473,-223.8898415453112,-775.1936908563373,-218.45407831910023,209.07056386953076,-4455.652302199439,1906.69725619548,2178.2087351504456,1128.747086088234,972.3455819469593,251.80271340838814,1061.2704853145838,1010.1862481749496,1226.9893154943802,421.2855678282593,1327.6565106034063,143.6428077405667,609.6347191469814,657.0492096662923,367.0943510401199,477.43945780112404,284.244161539618,99.23937424078004,4.126020311815455,-63.583834546095176,874.7971953826253,136.75836048901343,-72.10340389761438,6093.356135495238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20.005886444447274,66.43517206735767,4.810205826206226,-27.12516851208435,-15.156500510930487,-20.829918010050392,-32.248491387855516,-155.6551667666377,28.314616403677945,-201.41575695388872,-134.23172174217098,-178.98278340037146,-185.4120159665399,-504.75465169729324,-441.3898250084678,-215.87212235887014,-462.68027013473545,-413.8903359505803,-577.1603317768797,-263.03950053706444,-215.31103782942247,-809.5674903104173,-3021.4556866455328,1567.6609058720117,2400.9178482551815,350.44236004160786,418.2904543069123,1379.902763031728,428.6482256453375,804.6574608522823,754.916123301339,1019.8370767202754,949.9932591304507,453.9375832452821,665.7943431555905,708.3356679531249,434.5029657383644,491.8651879570935,124.03802649834981,629.914349281598,-235.09799596683837,270.91795272512525,549.0833014328842,-48.530782444579145,269.3600614420654,5232.391571686453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8.119676546673565,53.19164643346499,-19.32295670650335,1.3390276467324185,-0.0675324342312999,-43.07872141787138,-11.03717177390883,-75.07238880957355,-21.65152064812737,-158.9629694922459,-154.7591251325952,94.69390684957649,-306.70194560551204,48.289571902914226,-476.4321079658669,-97.53587720540996,-274.75708166059326,-158.96007077854736,-504.6987838034215,-565.1414792639599,163.006353010484,-367.4724476130995,-2147.152560048132,1718.7837842082429,470.4012948552773,779.4605135298627,293.75186419162395,902.7238399686283,-174.7974894206184,993.3241930572681,980.9335155215675,485.13830256022834,-33.397162886538005,482.81826547309186,547.8342412912838,153.08751996536122,365.6892985791856,-89.16292944976996,339.7437271118752,185.49727548600762,316.9831690590871,-3.921538562355467,-32.748519785405044,161.79740725222166,38.76873584436944,3474.5743954585882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-12.578557162604739,77.05315185056699,-8.987165417178753,-0.6255551084284154,-78.19599007399489,-9.974787840739438,41.80775594743939,-78.7912722565595,-106.81766830315144,-187.80949188919664,-225.60840071847193,-153.24214550948068,116.7142375004856,-378.65027883826684,-542.2120783676271,-292.8618119433366,-118.62509178490205,-878.9302535289069,-97.84844547303736,-294.81807247870057,-876.399800941151,-102.14633574508436,-3146.8058621264117,2306.69954440144,1741.1417456175172,-600.7365336159475,1404.3053555180525,645.5045697659039,1244.538376258869,788.3071858827119,655.1880012078033,328.65472566722684,1153.3989426210526,549.9123090806357,331.3727969619968,659.6462379214311,72.48580414191659,806.6417267743388,-189.7415031141634,669.5565633806956,-141.52875134868347,132.91778531158138,54.37347067218552,256.74607887077764,158.7600563280097,4669.231022203881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-14.629009551102122,150.6665077501185,20.138122326358566,7.2815853149185,-10.657685222105641,-54.5090775899352,-10.544267567444209,-55.47380732352681,-41.4120319960438,-16.96594991683574,-147.73186586709755,-28.285049538581394,-74.81537830894855,-66.83832594339736,-478.4219141220931,0.5982723662936312,-388.83777630619755,-406.05246885307736,-244.50038939117317,153.40971410348726,-193.9752567144033,-296.4941002295917,-12536.160155490421,10340.661680588339,2237.5031824481935,1408.3599919167175,89.42724775750258,776.9088493756188,402.9439315806958,490.513905268665,556.2627958083399,100.04925798383427,292.5887548339194,402.2155558178485,423.6437895695705,312.1320531135696,263.96627131751893,169.62552245032754,318.86783283555405,-227.92192864141566,-40.85689266232094,124.53039991690473,14.391706376449843,-638.2346412651591,-18.067348191479066,4689.885916021171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-11.109312511360717,108.78531153285658,-2.795087485644812,-55.75547925610048,-6.068802476564423,-59.086904783728095,-22.798628631711562,-145.72603656917138,33.29260241408029,-236.8026646748797,-130.6240770793108,193.87875316637897,-341.2387416308926,-195.4263692990762,-138.7313026660048,-238.1608331225387,-297.36426728925653,-896.8886257986244,120.13847071218538,-256.56511006820375,-305.949097535099,-619.191655537045,-5969.63030484768,4209.25954446807,1971.492851487069,992.1003599860161,462.09883491454576,894.8550427529359,825.0558214386238,573.8016130525042,929.6976927893988,743.8293087204617,-11.24276080070146,271.9924624854298,850.5630442118224,152.08922366088487,702.2712829439812,-277.27560659434795,422.7294542264768,157.61768940405778,248.24082388912854,215.01023031237057,-48.65152233678483,-3.9702959876688526,-191.0355795786495,4951.251416106387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-16.09297162672266,178.81985293094277,39.4207086981081,11.128314888079618,-29.28934325042505,21.57693940377139,-45.23914380103449,5.004334282670126,-68.24267363616158,-67.92114499526265,-172.42859704813728,1.1193325693846354,-76.98152166529879,-103.04904999254157,-289.41207556608936,-154.4431282369853,-215.97932928348567,-340.7216812666227,-116.95688925569281,-271.1912481222416,-330.1377022601964,-741.1274747611282,-15676.420070126927,13627.33842635958,2820.142096089135,1007.9305496466044,762.7668180725899,934.6013268929039,67.60183231446574,988.4205935219326,262.50941232751705,96.99729922025523,502.1405480389237,542.4295830300442,152.0100819592675,-50.58191547325421,559.5170185489039,396.801915633154,-122.69033500546999,396.8675908349131,-415.0712590938276,237.0136757616174,143.6177710575975,-839.3679739145755,70.7919783169657,5061.793584479684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15.005101089152012,187.118899369079,-13.334650636384259,20.581832646302523,-22.5703478253849,-64.23565156613495,19.816400570692284,27.52873307389661,-10.606385631494215,-12.274964800187682,-40.13048514519272,-167.77891767459252,-66.88845067871438,-46.629355065405406,-395.42967652813496,140.417859763956,-524.5116315531538,38.876818424125354,-171.22473435832669,-807.2913603563426,82.79801600277945,-345.28620182719794,-11643.066550084539,9547.7019137594,1573.9796283490864,2029.972110046454,-249.07231947247735,738.259251023526,805.5941967558128,727.8755578046726,294.50954308412975,298.849644361419,-165.40398698114876,440.85527591424875,811.3653579324421,360.0018401320847,-15.900739254714761,60.658017235724614,-524.6196334842035,959.7466219917877,-446.0785214793598,68.24786320922395,-218.87400638753,-134.37555654968256,-458.2618181402613,5523.573449841522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
